Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Norman Powell,31,LAC,SG,7,7,238,13,0.578,0.449,0.202,0.5,8,4.2,10.7,1.7,0.7,11,21.2,0.1,0.1,0.2,0.047,-1.1,0.1,-1,0.1,
Tobias Harris,32,DET,PF,6,6,233,14,0.602,0.324,0.225,4.1,18,11.3,2,1.3,2.5,7.1,15.5,0.3,0.3,0.6,0.132,0.4,1.6,2,0.2,
Kristaps Porziņģis,29,BOS,C,11,7,231,11.3,0.43,0.329,0.57,10.6,14.1,12.4,5.3,2.3,3.6,9.2,21.5,-0.2,0.4,0.3,0.054,-3.2,-0.9,-4,-0.1,
Amen Thompson,22,HOU,SF,7,7,231,19.3,0.545,0.047,0.424,9.3,13.7,11.5,17.1,2.7,2.9,10.6,21.6,0.4,0.3,0.7,0.148,1.5,2.2,3.7,0.3,
Jalen Green,22,HOU,SG,7,7,219,11.6,0.482,0.512,0.279,1.5,17.5,9.6,14.8,0.9,1,9.4,21.5,0,0.2,0.2,0.045,-1.1,-0.5,-1.5,0,
Isaiah Joe,25,OKC,SG,21,0,211,17.4,0.676,0.767,0.192,3.6,11.4,7.5,9.8,1.6,0.9,8.1,17.3,0.6,0.3,0.8,0.192,3.5,2.1,5.6,0.4,
Luka Dončić,25,LAL,PG,5,5,208,21.5,0.608,0.442,0.442,1.1,18,9.8,28.2,1.3,1.4,13.9,32.4,0.5,0.1,0.6,0.136,4.8,0.5,5.3,0.4,
Dillon Brooks,29,HOU,SF,7,7,206,11.7,0.585,0.46,0.381,4.9,6.9,5.9,6.9,1.3,1.1,10.9,17.7,0.3,0.1,0.4,0.1,-2.1,0.4,-1.7,0,
LeBron James,40,LAL,SF,5,5,204,25.5,0.601,0.318,0.455,7,18.3,12.8,26.9,2.6,4.3,11,27.2,0.6,0.2,0.8,0.198,6.9,2.7,9.5,0.6,
Jalen Duren,21,DET,C,6,6,203,19,0.708,0,0.575,15.2,20.7,18.1,16,0.5,4.1,16.6,12.8,0.6,0.3,0.9,0.216,1.6,2.5,4.2,0.3,
Peyton Watson,22,DEN,SF,14,0,199,11.1,0.477,0.322,0.271,7.8,14.6,11.3,3,2.8,4.1,10.8,16.1,-0.1,0.3,0.2,0.039,-1.6,1.5,-0.1,0.1,
Paolo Banchero,22,ORL,PF,5,5,197,20.3,0.517,0.218,0.331,6.5,19.6,12.5,22.8,0.8,2.1,9.6,36.4,0.1,0.1,0.2,0.039,5,0.4,5.3,0.4,
Austin Reaves,26,LAL,SG,5,5,196,9.4,0.532,0.644,0.096,2.4,13.3,8,16.2,0.3,1.5,15.5,21.5,-0.1,0,0,-0.011,-1.7,-2,-3.7,-0.1,
Franz Wagner,23,ORL,SF,5,5,195,19.1,0.51,0.322,0.226,1.6,13.9,7.2,29.9,1.6,1.1,7.3,32,0.1,0.1,0.2,0.058,3.3,1.3,4.6,0.3,
Moses Moody,22,GSW,SG,12,2,193,12.4,0.486,0.563,0.213,5,10.5,7.7,11.7,1.6,1.4,4.4,20.9,0.1,0.2,0.3,0.071,-0.2,-0.2,-0.5,0.1,
Ty Jerome,27,CLE,SG,9,1,191,15.5,0.521,0.391,0.217,2.9,10.5,6.6,25.5,1.3,0.5,9.8,25.1,0.3,0.2,0.4,0.111,1,-1.2,-0.2,0.1,
Tim Hardaway Jr.,32,DET,SG,6,6,188,5.8,0.477,0.732,0.141,1.3,8.8,5.2,5.8,0.5,0,10.7,19.3,-0.2,0.1,-0.1,-0.015,-3,-1.5,-4.5,-0.1,
Giannis Antetokounmpo,30,MIL,PF,5,5,188,33.2,0.651,0.051,0.636,11,38,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.232,8.2,3.2,11.4,0.6,
Jonathan Kuminga,22,GSW,PF,8,1,187,16.5,0.572,0.269,0.333,4.1,8.3,6.1,10.2,1.1,2,10.9,28.2,0.1,0.1,0.2,0.061,1.2,-0.4,0.8,0.1,
De'Andre Hunter,27,CLE,SF,8,0,185,13.7,0.591,0.413,0.413,3.6,14.7,8.9,6.1,1.1,0.5,8.6,18.8,0.3,0.2,0.5,0.127,-0.6,-0.4,-1,0,
Rui Hachimura,26,LAL,PF,5,5,182,12.2,0.634,0.544,0.053,2.6,11.8,7.3,4.8,0.9,1.6,10.7,16.8,0.2,0.1,0.2,0.06,0.7,-0.3,0.4,0.1,
Luke Kornet,29,BOS,C,11,1,180,17.5,0.769,0,0.276,10.3,16.3,13.4,4.3,1.7,6.6,13.3,9.5,0.5,0.4,0.8,0.221,0.3,3.3,3.6,0.3,
