Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Gary Payton II,32,GSW,SG,11,1,180,11.1,0.543,0.489,0,6,9.3,7.6,13.7,2.8,0,11.3,13,0.2,0.2,0.3,0.091,-1.4,1.7,0.3,0.1,
Nicolas Batum,36,LAC,PF,7,0,172,12.9,0.591,1,0,2.7,16,9.2,10.6,1.8,6,8.3,9.7,0.2,0.2,0.4,0.11,0.5,4.4,4.9,0.3,
Gary Trent Jr.,26,MIL,SG,5,3,171,19.7,0.708,0.71,0.161,0.6,7.2,3.7,5.6,3.8,0,4.3,18,0.5,0.1,0.6,0.164,3.5,2.9,6.4,0.4,
Dorian Finney-Smith,31,LAL,PF,5,1,170,6.9,0.534,0.655,0,7,7.3,7.2,11.8,0.3,1.1,14.7,9.3,0.1,0,0.1,0.033,-2,-0.2,-2.3,0,
Thomas Bryant,27,IND,C,20,0,167,10.1,0.664,0.545,0.424,5.1,13.1,9.4,3.2,1.2,3.3,15.2,12.2,0.2,0.2,0.3,0.093,-2.5,0.3,-2.3,0,
Dennis Schröder,31,DET,PG,6,0,164,16.7,0.625,0.396,0.302,2.9,6.7,4.9,21.8,2.1,0.5,10.4,17.6,0.4,0.2,0.6,0.166,2.4,2.2,4.6,0.3,
Malik Beasley,28,DET,SG,6,0,163,10.8,0.535,0.787,0.107,0.7,9.5,5.3,7.1,0.9,0.5,8.2,22.6,0.1,0.1,0.2,0.052,0.2,-0.8,-0.6,0.1,
Kentavious Caldwell-Pope,31,ORL,SG,5,5,163,5.7,0.394,0.767,0.133,0.7,11.1,5.4,8,2.3,1.9,5.9,9.5,-0.1,0.1,0,0.001,-5.4,2.4,-3,0,
Wendell Carter Jr.,25,ORL,C,5,5,162,14.3,0.574,0.275,0.25,12.6,27.9,19.5,6.1,0.7,1.3,15.3,14.8,0.1,0.1,0.2,0.072,-1,-0.1,-1.1,0,
Sam Merrill,28,CLE,SG,8,3,159,10.6,0.557,0.975,0.075,4.8,9.7,7.2,11.6,1.2,1.3,4.6,11.7,0.3,0.1,0.4,0.13,-0.4,0.9,0.5,0.1,
Bobby Portis,29,MIL,PF,5,1,158,12.7,0.511,0.412,0.015,5.5,25.7,15,7.1,0.6,1.2,8.1,20.9,0,0,0,0.002,-0.8,-1.9,-2.7,0,
Steven Adams,31,HOU,C,7,0,155,16.2,0.602,0,1.5,16.7,16.2,16.5,3.8,1,5.7,13.1,10.9,0.3,0.2,0.5,0.146,0.5,0.3,0.8,0.1,
Kris Dunn,30,LAC,PG,7,6,153,12.3,0.5,0.636,0,7.6,10.9,9.2,8,2.7,2.3,2.2,13.6,0.2,0.1,0.3,0.095,-1.6,2.7,1.1,0.1,
Bam Adebayo,27,MIA,C,4,4,153,15.9,0.508,0.328,0.172,11.7,23.4,17.1,19.4,1.4,0.8,14.8,24.5,0,-0.2,-0.2,-0.066,0.7,-1.5,-0.9,0,
Kevin Porter Jr.,24,MIL,SG,5,1,151,12,0.521,0.313,0.271,2.2,12.2,6.9,26,1.3,0,14.3,18.4,0.1,0,0.1,0.04,-1.2,-1,-2.2,0,
Darius Garland,25,CLE,PG,5,5,148,14.4,0.566,0.507,0.348,0.7,8,4.2,26.8,0.7,0,15.9,27.3,0.2,0.1,0.3,0.088,0.6,-2.4,-1.9,0,
Quinten Post,24,GSW,PF,12,2,146,7.7,0.452,0.667,0.083,4.4,18,10.9,12.5,1,1.9,10.8,16.8,-0.1,0.1,0.1,0.023,-3.4,-0.2,-3.6,-0.1,
Tyler Herro,25,MIA,SG,4,4,144,9.7,0.512,0.446,0.154,0,12.4,5.8,13.5,0.7,0,11.5,25.3,-0.1,-0.3,-0.4,-0.135,-2.9,-3.7,-6.6,-0.2,
Jabari Smith Jr.,21,HOU,PF,7,0,143,12.6,0.677,0.647,0.294,5.5,15.3,10.5,4.3,0.4,3.9,20.7,15,0.1,0.1,0.3,0.085,0.1,0.8,1,0.1,
Dean Wade,28,CLE,PF,9,1,142,6.8,0.417,0.778,0,7.7,23.3,15.2,5.2,1,0.7,14.3,6.3,0,0.2,0.2,0.067,-3,0.8,-2.2,0,
Davion Mitchell,26,MIA,PG,4,3,142,16.6,0.681,0.341,0.171,1.6,6.3,3.8,30.4,1.1,0.8,15.4,17,0.4,-0.3,0.1,0.026,1.6,0,1.5,0.1,
Jaylin Williams,22,OKC,PF,17,0,141,9.7,0.565,0.714,0.314,3.1,21.8,12.3,16.2,2.8,1.4,23.1,15.6,0,0.3,0.3,0.091,-4,4.4,0.4,0.1,
Desmond Bane,26,MEM,SG,4,4,139,6.9,0.438,0.508,0.238,4,16.2,10.3,15.4,1,1.3,17.7,25.4,-0.4,0,-0.3,-0.12,-2.4,-1.8,-4.2,-0.1,
Kenrich Williams,30,OKC,PF,16,0,137,9.9,0.457,0.5,0.15,6.3,21.6,13.9,7,2.5,0.7,14.1,15.4,-0.1,0.3,0.1,0.052,-2.6,0.8,-1.8,0,
Jaren Jackson Jr.,25,MEM,C,4,4,137,9,0.479,0.19,0.345,7.2,8.2,7.7,7.4,1.4,1.3,14.1,23.7,-0.2,0,-0.2,-0.06,-2,-1.5,-3.5,-0.1,
Ausar Thompson,22,DET,SF,6,6,135,15.9,0.596,0.048,0.857,7.1,18.8,13.1,7.5,2.6,3.1,16,22,0.1,0.2,0.3,0.114,-2.6,3.1,0.5,0.1,
A.J. Green,25,MIL,SG,5,1,135,13.5,0.69,0.897,0.051,1.6,10.9,6,10.9,0,0.7,0,13.1,0.4,0,0.3,0.124,2.6,0,2.6,0.2,
Tari Eason,23,HOU,PF,7,0,132,14.7,0.558,0.432,0.182,6,19.1,12.6,6.3,3.1,5.8,17.4,19.3,0,0.2,0.2,0.078,-0.8,3.1,2.3,0.1,
Derrick Jones Jr.,27,LAC,SF,7,1,129,12.7,0.495,0.417,0.167,4.5,7.4,5.9,2.3,1.6,6,5.5,19.6,-0.1,0.1,0,0.016,-1,0.9,-0.1,0.1,
Scotty Pippen Jr.,24,MEM,PG,4,4,129,12.1,0.55,0.483,0.328,3.4,14.3,9,18.7,1.5,0.7,17.4,26,0,0,0,0,-0.7,-0.1,-0.8,0,
Isaac Okoro,24,CLE,SG,9,0,128,10.6,0.612,0.533,0.267,3.4,6.5,4.9,5.3,2.3,0.8,10.7,12.5,0.1,0.1,0.3,0.106,-2,0.8,-1.2,0,
Cory Joseph,33,ORL,PG,5,5,124,9.9,0.521,0.667,0,0.9,8.3,4.2,18.3,2.1,1.7,7.7,9.6,0.1,0.1,0.2,0.065,-2.6,3,0.3,0.1,
Santi Aldama,24,MEM,PF,4,1,122,11.4,0.591,0.545,0,1.8,18.4,10.4,9.9,0,0.7,10.2,16.8,0.1,0,0.1,0.031,1.8,-0.5,1.3,0.1,
Andrew Wiggins,29,MIA,SF,4,4,122,7.8,0.485,0.465,0.233,3.7,9.4,6.4,11.8,0.4,4.7,18.8,22.2,-0.2,-0.2,-0.5,-0.177,-2.7,-2.8,-5.5,-0.1,
Kevon Looney,28,GSW,C,12,0,120,12.5,0.49,0,0.348,15.3,25.9,20.4,4.9,2.1,3.1,7,10.5,0.2,0.2,0.4,0.144,-4.4,1.1,-3.3,0,
Jarace Walker,21,IND,PF,12,0,117,7,0.503,0.588,0.118,2.1,17.8,10.4,9.4,0.8,1.6,16.4,16.2,-0.1,0.1,0,-0.009,-3.3,-0.6,-3.9,-0.1,
Bogdan Bogdanović,32,LAC,SG,7,0,117,6.8,0.478,0.545,0.159,5,15.3,10.1,18.1,1.3,0,18.9,23,-0.2,0.1,-0.1,-0.037,-7,-0.9,-7.9,-0.2,
Sam Hauser,27,BOS,PF,8,0,108,6.4,0.573,0.875,0.042,0,12.1,6.2,5.6,0.5,0.8,10.9,11.6,0,0.1,0.2,0.069,-2.5,0,-2.5,0,
Zach Edey,22,MEM,C,4,4,108,13.5,0.691,0,0.467,11.2,18.9,15.2,9.9,0,8.2,24.9,9.3,0.1,0.1,0.2,0.084,-0.3,2.9,2.6,0.1,
Cameron Payne,30,NYK,PG,14,0,102,2.1,0.391,0.568,0.081,0,9.3,4.5,12.7,2.5,1,15.4,19.3,-0.3,0.1,-0.2,-0.08,-9.4,-0.4,-9.8,-0.2,
Kyle Kuzma,29,MIL,PF,5,4,102,2.4,0.385,0.286,0.171,3.2,9.7,6.2,5.6,0,0.9,7.4,17.6,-0.2,0,-0.2,-0.107,-7.4,-3.4,-10.9,-0.2,
Gabe Vincent,28,LAL,PG,5,0,99,4.2,0.5,0.929,0,0,5.7,2.9,7.5,0.5,1.9,6.7,7.1,0,0,0,0.007,-4,0.6,-3.4,0,
Anthony Black,21,ORL,PG,5,0,89,15.4,0.48,0.351,0.351,12,17.4,14.5,0,2.4,1.2,4.5,23,0,0.1,0.1,0.052,-1.2,0.8,-0.5,0,
Julian Strawther,22,DEN,SG,9,0,88,9.8,0.574,0.4,0.233,5,6.1,5.6,3.5,1.1,1,13.1,18.7,0,0,0.1,0.036,-1.3,-0.7,-2,0,
Ajay Mitchell,22,OKC,SG,12,0,84,12.2,0.551,0.371,0.143,3.8,7.8,5.8,16.2,1.2,0,13.9,21.8,0,0.1,0.1,0.067,-1.3,-0.1,-1.4,0,
Haywood Highsmith,28,MIA,SF,4,0,84,14,0.763,0.789,0,5.3,13.7,9.2,7.6,1.9,2.7,17.4,12.7,0.1,-0.1,0,0.01,0.5,1.6,2,0.1,
Landry Shamet,27,NYK,SG,11,0,83,8.1,0.597,0.75,0.2,0,5.7,2.8,13.7,0.6,0,15.5,13.5,0.1,0,0.1,0.043,-0.5,-0.2,-0.7,0,
Gary Harris,30,ORL,SG,5,0,83,4.6,0.438,0.75,0,1.3,6.2,3.5,5.1,1.9,1.2,0,4.4,0,0,0,0.027,-5.8,2.7,-3.1,0,
Ja Morant,25,MEM,PG,3,3,82,15.2,0.475,0.302,0.208,1.3,6.2,3.9,38,1.2,2.2,9.4,32.5,-0.1,0,-0.1,-0.042,4.7,-0.2,4.5,0.1,
Trayce Jackson-Davis,24,GSW,C,9,3,80,21.5,0.78,0,0.722,12.2,18,14.9,4.4,1.9,2.3,4,13.6,0.3,0.1,0.4,0.233,1.6,1.3,2.9,0.1,
Luke Kennard,28,MEM,SG,4,0,80,8.3,0.5,0.5,0,2.8,15.3,9.3,15.4,2.4,1.1,25,12.5,-0.1,0,0,-0.025,-2.2,1.6,-0.6,0,
Tony Bradley,27,IND,C,11,0,78,9.4,0.595,0.111,1.333,17.3,14,15.6,4.9,0,1.2,21.9,10.4,0.1,0,0.2,0.1,-2.3,-2.1,-4.4,0,
Nikola Jović,21,MIA,PF,4,0,75,15.4,0.505,0.686,0.171,6,20.5,12.7,13.7,2.1,1.5,11.7,26.4,0,-0.1,-0.1,-0.08,0.9,-0.9,0,0,
