Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Derrick White,30,BOS,SG,11,11,415,37.72727273,18.8,0.636,0.707,0.245,3.9,11,7.6,15.8,0.9,2.7,7.4,19.3,1.3,0.5,1.8,0.208,5.1,1.4,6.6,0.9,30666666,0,0,0,0,1,0
Rudy Gobert,32,MIN,C,15,15,411,27.4,14.4,0.584,0,0.633,13.5,22.9,18.3,3.8,1,4.3,11.4,12,0.6,0.6,1.2,0.138,-0.8,0.4,-0.3,0.2,35000000,1,0,0,0,0,1
T.J. McConnell,32,IND,PG,23,0,402,17.47826087,19,0.583,0.109,0.154,3.7,17.2,10.8,38,2.4,0.5,19.1,25.4,0.4,0.5,0.9,0.103,1.3,1.3,2.6,0.5,11000000,0,0,1,0,0,0
Jaylen Brown,28,BOS,SF,11,11,402,36.54545455,16.1,0.542,0.323,0.338,3.8,17.6,10.9,19.7,1.4,0.7,14.8,29.9,0.1,0.6,0.7,0.083,-0.1,0.3,0.2,0.2,53142264,0,0,0,1,0,1
Jimmy Butler,35,GSW,SF,11,11,397,36.09090909,20.7,0.564,0.237,0.526,7.1,14.2,10.5,24.1,1.8,0.7,6.5,22.2,1.2,0.4,1.6,0.191,3.8,1.3,5.1,0.7,54126450,0,0,0,1,0,0
Draymond Green,34,GSW,PF,12,12,389,32.41666667,7.8,0.479,0.556,0.12,2.5,17.5,9.6,17.9,2.2,2.6,24,17,-0.6,0.5,-0.1,-0.009,-4.3,1.8,-2.5,0,27000000,0,1,0,0,0,1
Bennedict Mathurin,22,IND,SF,22,0,385,17.5,18.5,0.628,0.405,0.696,8.3,13.4,11,7.4,1.1,1.7,11.9,25.2,0.9,0.3,1.2,0.152,1.6,-0.2,1.4,0.3,10000000,0,0,0,1,0,0
Donte DiVincenzo,28,MIN,SG,15,0,377,25.13333333,9.8,0.493,0.698,0.103,3.8,10.4,7.1,18.9,2.8,1.1,17.5,18.4,-0.1,0.5,0.4,0.046,-2.1,1.5,-0.5,0.1,12700000,0,0,0,0,1,0
Naz Reid,25,MIN,C,15,0,375,25,13.8,0.645,0.573,0.227,5,16.9,11,9.9,1.5,3.7,18.8,17.2,0.3,0.5,0.8,0.107,0.3,2.2,2.5,0.4,23303571,1,0,0,0,0,1
Mitchell Robinson,26,NYK,C,18,4,370,20.55555556,15.3,0.555,0,1.098,20.5,19.2,19.9,2.6,2.3,3.8,14.7,10.4,0.5,0.5,1.1,0.138,0,0.2,0.2,0.2,13376880,1,0,0,0,0,0
