Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Ja Morant,25,MEM,PG,3,3,82,27.33333333,15.2,0.475,0.302,0.208,1.3,6.2,3.9,38,1.2,2.2,9.4,32.5,-0.1,0,-0.1,-0.042,4.7,-0.2,4.5,0.1,39446090,0,0,1,0,0,0
Luke Kennard,28,MEM,SG,4,0,80,20,8.3,0.5,0.5,0,2.8,15.3,9.3,15.4,2.4,1.1,25,12.5,-0.1,0,0,-0.025,-2.2,1.6,-0.6,0,11499872,0,0,0,0,1,0
Damian Lillard,34,MIL,PG,3,3,75,25,6.7,0.349,0.593,0.259,1.4,11.5,6.1,25.5,1.3,2.6,9.1,19.5,-0.1,0,-0.1,-0.058,-4.8,-2,-6.8,-0.1,24570000,0,0,1,0,0,1
Brook Lopez,36,MIL,C,5,4,74,14.8,8.8,0.517,0.682,0.227,4.4,8.3,6.2,7.7,0.7,6.5,14.2,16.9,0,0,0,0.01,-3.8,0.2,-3.6,0,9187573,1,0,0,0,0,0
Jonathan Isaac,27,ORL,PF,5,0,69,13.8,12.3,0.634,0.333,0.417,7.8,9.4,8.5,4.5,1.5,1.5,12.3,10.7,0.1,0,0.1,0.08,-1.1,1.2,0.1,0,15936452,0,1,0,0,0,0
John Konchar,28,MEM,SG,4,0,69,17.25,8.3,0.511,0.667,0.444,4.8,14.8,10,12.3,1.4,2.6,15.7,7.7,0,0,0.1,0.046,-1.9,2.8,0.9,0.1,6623456,0,0,0,0,1,0
Jarred Vanderbilt,25,LAL,PF,5,0,60,12,8.9,0.451,0.167,0.667,7.9,28.3,18.4,12.1,2.6,1.6,27.9,8.4,0,0.1,0.1,0.068,-4.2,3.4,-0.7,0,11990000,0,1,0,0,0,0
Duncan Robinson,30,MIA,SF,4,0,59,14.75,0.4,0.539,0.857,0.286,0,8.7,4,2.5,0,0,27.6,17.1,-0.1,-0.1,-0.3,-0.228,-7.3,-4.3,-11.6,-0.1,18080496,0,0,0,1,0,0
Paul Reed,25,DET,C,5,0,53,10.6,14.8,0.658,0,0.75,15.7,16.7,16.2,2.8,4.7,4.7,32,12.7,0,0.1,0.1,0.12,-2.2,4.3,2,0.1,5685000,1,0,0,0,0,0
Zeke Nnaji,24,DEN,PF,6,0,34,5.666666667,3.8,0.316,0.75,0.875,9.8,12.7,11.2,7.7,1.5,5.4,15.3,16.6,-0.1,0,0,-0.068,-5.8,-0.7,-6.5,0,8399983,0,1,0,0,0,0
Ron Holland,19,DET,SF,5,0,34,6.8,-0.6,0.479,0.6,2,10.5,9.7,10.1,0,0,2.4,39,19.5,-0.1,0,-0.1,-0.14,-10.1,-2.6,-12.7,-0.1,9000000,0,0,0,1,0,0
Ousmane Dieng,21,OKC,C,9,0,32,3.555555556,16.2,0.643,0.7,0.2,0,13.7,6.8,12.9,0,3.1,0,14.4,0.1,0,0.1,0.202,4.9,1.3,6.3,0.1,7275600,1,0,0,0,0,0
Isaiah Stewart,23,DET,C,1,0,19,19,8.3,0.5,0,0,6.3,23.2,15.1,7.3,0,8.8,0,4.5,0,0,0.1,0.13,-5.8,3,-2.8,0,15500000,1,0,0,0,0,0
Pat Connaughton,32,MIL,SG,3,0,14,4.666666667,-1,0.338,0.5,0.25,0,17.6,8.2,10.7,0,0,10.1,31.3,-0.1,0,-0.1,-0.285,-8.9,-6.7,-15.6,0,10044644,0,0,0,0,1,0
Kyle Anderson,31,MIA,SF,2,0,14,7,-7.4,0,0,0,0,9.1,4.3,9.5,0,0,33.3,10,-0.1,0,-0.1,-0.344,-11.9,-4.4,-16.2,-0.1,10000000,0,1,0,0,0,0
Goga Bitadze,25,ORL,C,3,0,11,3.666666667,9,1,0,0,0,35.2,16,14,0,9.3,0,4.2,0,0,0,0.191,-10.7,6.3,-4.4,0,8741209,1,0,0,0,0,0
Maxi Kleber,33,LAL,PF,1,0,5,5,-4.4,0.532,1,2,0,0,0,0,0,0,34.7,26.9,0,0,0,-0.233,-12.2,-6.5,-18.6,0,11499872,0,1,0,0,0,0
Alperen ?eng?,22,HOU,C,7,7,256,36.57142857,20.8,0.491,0.061,0.305,9.2,26.5,18,27,2.6,1.3,9.2,28.3,0.3,0.4,0.7,0.139,2.3,2.4,4.7,0.4,33944954,0,1,0,0,0,0
Bogdan Bogdanovi?,32,LAC,SG,7,0,117,16.71428571,6.8,0.478,0.545,0.159,5,15.3,10.1,18.1,1.3,0,18.9,23,-0.2,0.1,-0.1,-0.037,-7,-0.9,-7.9,-0.2,17991071,0,0,0,0,1,0
Kristaps Porzi??is,29,BOS,C,11,7,231,21,11.3,0.43,0.329,0.57,10.6,14.1,12.4,5.3,2.3,3.6,9.2,21.5,-0.2,0.4,0.3,0.054,-3.2,-0.9,-4,-0.1,30731707,1,0,0,0,0,0
Luka Don?i?,25,LAL,PG,5,5,208,41.6,21.5,0.608,0.442,0.442,1.1,18,9.8,28.2,1.3,1.4,13.9,32.4,0.5,0.1,0.6,0.136,4.8,0.5,5.3,0.4,49800000,0,0,1,0,0,0
Nikola Jovi?,21,MIA,PF,4,0,75,18.75,15.4,0.505,0.686,0.171,6,20.5,12.7,13.7,2.1,1.5,11.7,26.4,0,-0.1,-0.1,-0.08,0.9,-0.9,0,0,16200000,0,1,0,0,0,0
Nikola Joki?,29,DEN,C,14,14,563,40.21428571,24.7,0.587,0.265,0.377,5.7,28.6,17.3,35.6,2.5,1.9,15,28.2,1.3,0.8,2.1,0.181,6.9,3.8,10.7,1.8,55224526,1,0,0,0,0,1
