Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Salary
166,Terry Rozier,30,MIA,PG,64,23,25.90625,3.875,9.921875,0.391,1.421875,4.8125,0.295,2.453125,5.109375,0.48,0.462,1.4375,1.6875,0.852,0.6875,3.03125,3.71875,2.609375,0.578125,0.21875,1.21875,1.140625,10.609375,0,0,28100000
167,Jerami Grant,30,POR,PF,47,47,32.42553191,4.553191489,12.21276596,0.373,2.29787234,6.29787234,0.365,2.255319149,5.914893617,0.381,0.467,3,3.531914894,0.849,0.553191489,2.914893617,3.468085106,2.14893617,0.872340426,0.978723404,1.382978723,2.319148936,14.40425532,0,0,33584499
168,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.5974026,3.103896104,7.064935065,0.439,1.467532468,4.285714286,0.342,1.636363636,2.779220779,0.589,0.543,1.064935065,1.233766234,0.863,0.428571429,1.766233766,2.194805195,1.766233766,1.285714286,0.441558442,0.805194805,1.766233766,8.74025974,0,0,23799569
169,Mark Williams,23,CHO,C,44,41,26.61363636,6.136363636,10.15909091,0.604,0,0.090909091,0,6.136363636,10.06818182,0.609,0.604,2.977272727,3.704545455,0.804,3,7.159090909,10.15909091,2.477272727,0.727272727,1.227272727,1.613636364,2.386363636,15.25,0,0,6700000
172,Paul George,34,PHI,PF,41,41,32.53658537,5.975609756,13.90243902,0.43,2.341463415,6.536585366,0.358,3.634146341,7.365853659,0.493,0.514,1.926829268,2.365853659,0.814,0.585365854,4.756097561,5.341463415,4.341463415,1.829268293,0.487804878,2.585365854,2.463414634,16.2195122,0,0,51666090
175,Andrew Nembhard,25,IND,SG,65,65,28.93846154,3.8,8.292307692,0.458,0.784615385,2.692307692,0.291,3.015384615,5.6,0.538,0.506,1.661538462,2.092307692,0.794,0.523076923,2.8,3.323076923,5.015384615,1.215384615,0.169230769,1.723076923,2.292307692,10.04615385,0,0,18797619
177,Isaiah Hartenstein,26,OKC,C,57,53,27.89473684,4.894736842,8.421052632,0.581,0,0.333333333,0,4.894736842,8.087719298,0.605,0.581,1.385964912,2.052631579,0.675,2.859649123,7.859649123,10.71929825,3.842105263,0.824561404,1.087719298,1.684210526,3,11.1754386,0,0,30801103
178,Ziaire Williams,23,BRK,SF,63,45,24.46031746,3.396825397,8.253968254,0.412,1.634920635,4.793650794,0.341,1.761904762,3.46031746,0.509,0.511,1.603174603,1.952380952,0.821,0.968253968,3.587301587,4.555555556,1.333333333,0.984126984,0.444444444,1.063492063,2.365079365,10.03174603,0,0,6665520
180,Wendell Carter Jr.,25,ORL,C,68,51,25.85294118,3.323529412,7.220588235,0.46,0.544117647,2.323529412,0.234,2.779411765,4.897058824,0.568,0.498,1.897058824,2.573529412,0.737,2.220588235,5.014705882,7.235294118,1.970588235,0.764705882,0.602941176,1.132352941,2.926470588,9.088235294,0,0,11144093
181,Jeremy Sochan,21,SAS,PF,54,23,25.25925926,4.648148148,8.685185185,0.535,0.518518519,1.685185185,0.308,4.12962963,7,0.59,0.565,1.611111111,2.314814815,0.696,2.351851852,4.166666667,6.518518519,2.37037037,0.833333333,0.5,1.555555556,2.425925926,11.42592593,0,0,7680524
183,Draymond Green,34,GSW,PF,68,66,29.16176471,3.176470588,7.485294118,0.424,1.176470588,3.617647059,0.325,2,3.867647059,0.517,0.503,1.485294118,2.161764706,0.687,1.088235294,5,6.088235294,5.632352941,1.455882353,1.029411765,2.558823529,3.220588235,9.014705882,1,1,27000000
186,Sam Hauser,27,BOS,PF,71,19,21.70422535,3.014084507,6.676056338,0.451,2.338028169,5.61971831,0.416,0.676056338,1.056338028,0.64,0.627,0.154929577,0.154929577,1,0.61971831,2.535211268,3.154929577,0.901408451,0.577464789,0.183098592,0.323943662,1.225352113,8.521126761,0,0,10739683
188,Jordan Clarkson,32,UTA,SG,37,9,26,5.432432432,13.32432432,0.408,2.27027027,6.27027027,0.362,3.162162162,7.054054054,0.448,0.493,3.081081081,3.864864865,0.797,0.675675676,2.513513514,3.189189189,3.72972973,0.837837838,0.243243243,2.324324324,1.405405405,16.21621622,0,0,11000000
189,Cam Thomas,23,BRK,SG,25,23,31.24,7.96,18.16,0.438,2.72,7.8,0.349,5.24,10.36,0.506,0.513,5.32,6.04,0.881,0.6,2.72,3.32,3.76,0.6,0.08,2.48,1.76,23.96,0,0,6332520
195,Davion Mitchell,26,2TM,PG,74,37,27.39189189,3.013513514,6.432432432,0.468,1.135135135,2.851351351,0.398,1.878378378,3.581081081,0.525,0.557,0.783783784,1.135135135,0.69,0.472972973,1.783783784,2.256756757,4.905405405,0.972972973,0.216216216,1.72972973,2.5,7.945945946,0,0,12362338
196,Bogdan Bogdanovi?,32,2TM,SG,54,4,24.96296296,3.888888889,9.111111111,0.427,1.944444444,5.351851852,0.363,1.944444444,3.759259259,0.517,0.534,1.074074074,1.222222222,0.879,0.444444444,2.5,2.944444444,2.703703704,0.759259259,0.203703704,1.37037037,2.351851852,10.7962963,0,0,17991071
197,Mike Conley,37,MIN,PG,71,64,24.73239437,2.633802817,6.591549296,0.4,1.788732394,4.366197183,0.41,0.845070423,2.225352113,0.38,0.535,1.14084507,1.267605634,0.9,0.450704225,2.112676056,2.563380282,4.492957746,1.112676056,0.197183099,1.056338028,1.563380282,8.197183099,0,0,11108880
199,Deandre Ayton,26,POR,C,40,40,30.15,6.625,11.7,0.566,0.15,0.8,0.188,6.475,10.9,0.594,0.573,1,1.5,0.667,3.1,7.05,10.15,1.6,0.775,0.975,1.725,2.2,14.4,0,0,26643031
200,Luke Kennard,28,MEM,SG,65,11,22.64615385,3.169230769,6.630769231,0.478,1.738461538,4.015384615,0.433,1.430769231,2.615384615,0.547,0.609,0.784615385,0.876923077,0.895,0.569230769,2.246153846,2.815384615,3.307692308,0.769230769,0.076923077,1.107692308,0.907692308,8.861538462,0,0,11499872
203,Brandon Miller,22,CHO,SF,27,27,34.22222222,7.333333333,18.18518519,0.403,3.851851852,10.85185185,0.355,3.481481481,7.333333333,0.475,0.509,2.518518519,2.925925926,0.861,0.925925926,3.925925926,4.851851852,3.62962963,1.074074074,0.740740741,2.814814815,2.740740741,21.03703704,0,0,12500000
205,Jalen Suggs,23,ORL,PG,35,35,28.62857143,5.628571429,13.74285714,0.41,2.171428571,6.914285714,0.314,3.457142857,6.828571429,0.506,0.489,2.771428571,3.142857143,0.882,0.657142857,3.371428571,4.028571429,3.685714286,1.457142857,0.942857143,2.914285714,2.8,16.2,0,0,36566002
206,Ayo Dosunmu,25,CHI,SG,46,26,30.30434783,4.804347826,9.760869565,0.492,1.347826087,4.108695652,0.328,3.456521739,5.652173913,0.612,0.561,1.347826087,1.717391304,0.785,0.565217391,2.934782609,3.5,4.52173913,0.934782609,0.391304348,1.5,2.282608696,12.30434783,1,0,7874853
207,Patrick Williams,23,CHI,PF,63,36,25.01587302,3.253968254,8.19047619,0.397,1.523809524,4.317460317,0.353,1.73015873,3.873015873,0.447,0.49,0.952380952,1.317460317,0.723,0.682539683,3.079365079,3.761904762,1.968253968,0.761904762,0.507936508,1.365079365,1.396825397,8.984126984,0,0,18259259
208,Immanuel Quickley,25,TOR,PG,33,33,27.81818182,5.575757576,13.27272727,0.42,2.575757576,6.818181818,0.378,3,6.454545455,0.465,0.517,3.363636364,3.878787879,0.867,0.484848485,3.060606061,3.545454545,5.787878788,0.696969697,0.121212121,1.757575758,1.848484848,17.09090909,0,0,33654814
211,Dorian Finney-Smith,31,2TM,PF,63,40,28.85714286,3.095238095,6.904761905,0.448,2.047619048,4.984126984,0.411,1.047619048,1.920634921,0.545,0.597,0.476190476,0.714285714,0.667,1.26984127,2.650793651,3.920634921,1.428571429,0.920634921,0.365079365,0.888888889,2.158730159,8.714285714,0,0,13197720
213,Dejounte Murray,28,NOP,PG,31,31,32.64516129,6.258064516,15.93548387,0.393,1.677419355,5.612903226,0.299,4.580645161,10.32258065,0.444,0.445,3.290322581,4,0.823,0.548387097,5.903225806,6.451612903,7.35483871,2.032258065,0.387096774,3.419354839,1.967741935,17.48387097,1,0,32000001
215,Aaron Nesmith,25,IND,SF,45,37,24.95555556,4.266666667,8.422222222,0.507,1.866666667,4.333333333,0.431,2.4,4.088888889,0.587,0.617,1.622222222,1.777777778,0.913,0.822222222,3.133333333,3.955555556,1.2,0.777777778,0.377777778,0.822222222,2.533333333,12.02222222,0,0,19418000
,A.J. Green,25,MIL,SG,73,7,22.7260274,2.493150685,5.808219178,0.429,2.123287671,4.97260274,0.427,0.369863014,0.835616438,0.443,0.612,0.301369863,0.369863014,0.815,0.246575342,2.136986301,2.383561644,1.479452055,0.506849315,0.095890411,0.547945205,2.150684932,7.410958904,0,0,10044644
217,Al Horford,38,BOS,C,60,42,27.65,3.25,7.683333333,0.423,1.9,5.233333333,0.363,1.35,2.45,0.551,0.547,0.566666667,0.633333333,0.895,1.316666667,4.833333333,6.15,2.133333333,0.6,0.85,0.766666667,1.35,8.966666667,0,0,6127080
218,Brandon Clarke,28,MEM,PF,64,18,18.859375,3.6875,5.9375,0.621,0.015625,0.265625,0.059,3.671875,5.671875,0.647,0.622,0.953125,1.359375,0.701,1.984375,3.109375,5.09375,1.03125,0.8125,0.5625,0.640625,2.265625,8.34375,0,0,12954546
222,Nick Richards,27,2TM,C,57,43,22.03508772,3.596491228,6.087719298,0.591,0,0.035087719,0,3.596491228,6.052631579,0.594,0.591,2.087719298,2.807017544,0.744,2.596491228,5.578947368,8.175438596,0.859649123,0.245614035,0.964912281,1.421052632,2.473684211,9.280701754,0,0,5480297
224,Jalen Smith,24,CHI,C,64,2,15.03125,2.96875,6.375,0.466,1.125,3.46875,0.324,1.84375,2.90625,0.634,0.554,1.125,1.390625,0.809,1.390625,4.1875,5.578125,1.015625,0.265625,0.6875,0.578125,1.484375,8.1875,0,0,9560520
226,Ron Holland,19,DET,SF,81,2,15.62962963,2.432098765,5.135802469,0.474,0.444444444,1.864197531,0.238,1.987654321,3.271604938,0.608,0.517,1.135802469,1.50617284,0.754,0.49382716,2.197530864,2.691358025,1.012345679,0.604938272,0.209876543,0.888888889,1.740740741,6.444444444,0,0,9000000
227,Terance Mann,28,2TM,SG,67,13,21.10447761,3.059701493,6.164179104,0.496,0.895522388,2.432835821,0.368,2.164179104,3.731343284,0.58,0.569,0.701492537,1.014925373,0.691,1.014925373,1.955223881,2.970149254,1.805970149,0.701492537,0.223880597,0.701492537,1.910447761,7.71641791,0,0,16875000
229,Sam Merrill,28,CLE,SG,71,4,19.73239437,2.422535211,5.971830986,0.406,1.929577465,5.183098592,0.372,0.492957746,0.788732394,0.625,0.567,0.394366197,0.408450704,0.966,0.535211268,1.676056338,2.211267606,1.521126761,0.746478873,0.197183099,0.492957746,1.746478873,7.169014085,0,0,9000000
230,Josh Green,24,CHO,SG,68,67,27.75,2.647058824,6.191176471,0.428,1.426470588,3.647058824,0.391,1.220588235,2.544117647,0.48,0.543,0.720588235,1.058823529,0.681,0.823529412,1.705882353,2.529411765,1.588235294,1.088235294,0.220588235,1.029411765,2.426470588,7.441176471,0,0,13937574
231,Goga Bitadze,25,ORL,C,70,42,20.42857143,2.957142857,4.842857143,0.611,0.042857143,0.4,0.107,2.914285714,4.442857143,0.656,0.615,1.214285714,1.9,0.639,2.385714286,4.228571429,6.614285714,1.957142857,0.7,1.4,1.028571429,2.142857143,7.171428571,0,0,8741209
235,Nikola Jovi?,21,MIA,PF,46,10,25.13043478,3.739130435,8.195652174,0.456,1.695652174,4.565217391,0.371,2.043478261,3.630434783,0.563,0.56,1.565217391,1.891304348,0.828,0.565217391,3.347826087,3.913043478,2.847826087,0.826086957,0.282608696,1.304347826,1.782608696,10.73913043,0,0,16200000
236,Clint Capela,30,ATL,C,55,41,21.38181818,3.963636364,7.090909091,0.559,0,0.018181818,0,3.963636364,7.072727273,0.56,0.559,0.945454545,1.763636364,0.536,3.163636364,5.363636364,8.527272727,1.127272727,0.618181818,0.963636364,0.854545455,1.927272727,8.872727273,0,0,7518518
237,Chet Holmgren,22,OKC,C,32,32,27.40625,5.21875,10.65625,0.49,1.375,3.625,0.379,3.84375,7.03125,0.547,0.554,3.15625,4.1875,0.754,1.5,6.53125,8.03125,1.96875,0.71875,2.21875,1.75,2.25,14.96875,0,0,41500000
238,Haywood Highsmith,28,MIA,SF,74,42,24.56756757,2.418918919,5.283783784,0.458,1.202702703,3.148648649,0.382,1.216216216,2.135135135,0.57,0.572,0.418918919,0.581081081,0.721,0.972972973,2.432432432,3.405405405,1.513513514,0.918918919,0.5,0.72972973,2.216216216,6.459459459,0,0,6045000
240,Kris Dunn,30,LAC,PG,74,58,24.09459459,2.594594595,5.905405405,0.439,1.013513514,3.027027027,0.335,1.581081081,2.878378378,0.549,0.525,0.202702703,0.297297297,0.682,0.716216216,2.675675676,3.391891892,2.837837838,1.72972973,0.364864865,1,2.662162162,6.405405405,0,0,5820240
241,Max Strus,28,CLE,SF,50,37,25.46,3.3,7.46,0.442,2.26,5.86,0.386,1.04,1.6,0.65,0.594,0.56,0.68,0.824,1.06,3.28,4.34,3.16,0.52,0.24,1.08,2.08,9.42,0,0,17500000
242,Jarace Walker,21,IND,PF,75,5,15.82666667,2.266666667,4.8,0.472,1,2.466666667,0.405,1.266666667,2.333333333,0.543,0.576,0.613333333,0.92,0.667,0.333333333,2.72,3.053333333,1.466666667,0.72,0.333333333,1.04,1.533333333,6.146666667,0,0,7232143
243,Gabe Vincent,28,LAL,PG,72,11,21.20833333,2.333333333,5.833333333,0.4,1.513888889,4.291666667,0.353,0.819444444,1.541666667,0.532,0.53,0.208333333,0.291666667,0.714,0.277777778,1,1.277777778,1.361111111,0.708333333,0.180555556,0.569444444,2.111111111,6.388888889,0,0,11808240
244,Jake LaRavia,23,2TM,PF,66,0,20.43939394,2.424242424,5.106060606,0.475,0.909090909,2.151515152,0.423,1.515151515,2.954545455,0.513,0.564,1.181818182,1.742424242,0.678,1.363636364,2.560606061,3.924242424,2.393939394,0.939393939,0.348484848,1.303030303,2,6.939393939,0,0,6383525
245,Jusuf Nurki?,30,2TM,C,51,32,20.84313725,3.294117647,6.901960784,0.477,0.62745098,2.058823529,0.305,2.666666667,4.843137255,0.551,0.523,1.666666667,2.509803922,0.664,1.666666667,6.137254902,7.803921569,2.254901961,0.784313725,0.666666667,1.901960784,2.549019608,8.882352941,0,0,20000000
246,Joel Embiid,30,PHI,C,19,19,30.21052632,7.368421053,16.57894737,0.444,1.210526316,4.052631579,0.299,6.157894737,12.52631579,0.492,0.481,7.842105263,8.894736842,0.882,1.894736842,6.263157895,8.157894737,4.473684211,0.736842105,0.947368421,3.263157895,2.210526316,23.78947368,1,0,55224526
251,Simone Fontecchio,29,DET,SF,75,0,16.49333333,2,4.973333333,0.402,1.013333333,3.026666667,0.335,0.986666667,1.946666667,0.507,0.504,0.933333333,1.12,0.833,0.693333333,2.173333333,2.866666667,0.866666667,0.413333333,0.16,0.72,1.266666667,5.946666667,0,0,8657280
254,Luke Kornet,29,BOS,C,73,16,18.64383562,2.561643836,3.835616438,0.668,0,0.04109589,0,2.561643836,3.794520548,0.675,0.668,0.917808219,1.328767123,0.691,2.602739726,2.712328767,5.315068493,1.602739726,0.493150685,0.97260274,0.424657534,1.630136986,6.04109589,0,0,11550000
255,Khris Middleton,33,2TM,SF,37,21,22.78378378,4.324324324,9.108108108,0.475,1.297297297,3.594594595,0.361,3.027027027,5.513513514,0.549,0.546,1.945945946,2.27027027,0.857,0.351351351,3.351351351,3.702702703,4.054054054,0.945945946,0.216216216,1.513513514,2.027027027,11.89189189,0,0,33944954
257,Donovan Clingan,20,POR,C,67,37,19.76119403,2.686567164,4.985074627,0.539,0.208955224,0.731343284,0.286,2.47761194,4.253731343,0.582,0.56,0.925373134,1.552238806,0.596,3.23880597,4.626865672,7.865671642,1.149253731,0.507462687,1.641791045,1.074626866,2.820895522,6.507462687,0,0,7714286
258,Kenrich Williams,30,OKC,PF,69,7,16.4057971,2.47826087,5.130434783,0.483,0.956521739,2.47826087,0.386,1.52173913,2.652173913,0.574,0.576,0.405797101,0.565217391,0.718,0.942028986,2.550724638,3.492753623,1.405797101,0.623188406,0.144927536,0.565217391,1.594202899,6.31884058,0,0,7707709
259,Isaiah Stewart,23,DET,C,72,4,19.91666667,2.444444444,4.375,0.559,0.236111111,0.736111111,0.321,2.208333333,3.638888889,0.607,0.586,0.916666667,1.208333333,0.759,1.805555556,3.736111111,5.541666667,1.708333333,0.388888889,1.402777778,0.944444444,2.541666667,6.041666667,0,0,15500000
266,Zach Collins,27,2TM,PF,64,12,15.265625,2.390625,4.71875,0.507,0.5,1.65625,0.302,1.890625,3.0625,0.617,0.56,1.078125,1.21875,0.885,1.59375,2.90625,4.5,1.734375,0.453125,0.453125,0.9375,2.0625,6.359375,0,0,18485916
