Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Salary
268,Brandon Ingram,27,NOP,SF,18,18,33.05555556,8.611111111,18.5,0.465,2.388888889,6.388888889,0.374,6.222222222,12.11111111,0.514,0.53,2.611111111,3.055555556,0.855,0.944444444,4.611111111,5.555555556,5.166666667,0.888888889,0.611111111,3.833333333,2.5,22.22222222,0,0,38095238
270,Day'Ron Sharpe,23,BRK,C,50,2,18.14,3.3,6.34,0.521,0.22,0.9,0.244,3.08,5.44,0.566,0.538,1.12,1.48,0.757,2.98,3.62,6.6,1.82,0.82,0.84,1.26,2.26,7.94,0,0,6670882
272,Moritz Wagner,27,ORL,C,30,1,18.8,4.666666667,8.3,0.562,0.9,2.5,0.36,3.766666667,5.8,0.649,0.616,2.633333333,3.666666667,0.718,1.333333333,3.6,4.933333333,1.4,0.8,0.4,1.633333333,1.833333333,12.86666667,0,0,5480297
274,Kelly Olynyk,33,2TM,C,44,22,20.25,3.045454545,6.090909091,0.5,0.75,1.795454545,0.418,2.295454545,4.295454545,0.534,0.562,1.886363636,2.454545455,0.769,1.409090909,3.272727273,4.681818182,2.909090909,0.75,0.431818182,1.727272727,2.795454545,8.727272727,0,0,13666667
276,Alex Caruso,30,OKC,SG,54,3,19.27777778,2.592592593,5.814814815,0.446,1.111111111,3.148148148,0.353,1.481481481,2.666666667,0.556,0.541,0.777777778,0.944444444,0.824,0.703703704,2.240740741,2.944444444,2.537037037,1.611111111,0.555555556,0.685185185,1.888888889,7.074074074,0,0,18893980
277,Jonathan Isaac,27,ORL,PF,71,1,15.35211268,1.887323944,4.563380282,0.414,0.549295775,2.126760563,0.258,1.338028169,2.436619718,0.549,0.474,1.028169014,1.507042254,0.682,1.690140845,2.732394366,4.422535211,0.563380282,0.85915493,1.126760563,0.464788732,1.267605634,5.352112676,0,0,15936452
283,Kyle Anderson,31,2TM,PF,61,4,16.42622951,2.327868852,4.967213115,0.469,0.409836066,1.147540984,0.357,1.918032787,3.819672131,0.502,0.51,0.786885246,1.06557377,0.738,0.868852459,2.508196721,3.37704918,2.37704918,0.655737705,0.540983607,0.606557377,1.327868852,5.852459016,0,0,10000000
285,Caleb Martin,29,2TM,SF,45,24,27.06666667,2.866666667,6.755555556,0.424,0.822222222,2.288888889,0.359,2.044444444,4.466666667,0.458,0.485,1.355555556,2.177777778,0.622,1.177777778,2.755555556,3.933333333,2.111111111,1.022222222,0.511111111,1.244444444,1.933333333,7.911111111,0,0,10107163
291,Kevon Looney,28,GSW,C,76,6,15.02631579,1.881578947,3.657894737,0.514,0.026315789,0.065789474,0.4,1.855263158,3.592105263,0.516,0.518,0.736842105,1.302631579,0.566,2.434210526,3.644736842,6.078947368,1.552631579,0.605263158,0.486842105,0.513157895,2.026315789,4.526315789,0,0,8237640
296,Isaac Okoro,24,CLE,SG,55,22,19.14545455,2.254545455,4.854545455,0.464,1.018181818,2.745454545,0.371,1.236363636,2.109090909,0.586,0.569,0.6,0.836363636,0.717,0.890909091,1.472727273,2.363636364,1.236363636,0.581818182,0.290909091,0.418181818,1.890909091,6.127272727,0,0,11500000
301,Tre Jones,25,2TM,PG,46,9,19.67391304,2.782608696,5.173913043,0.538,0.413043478,1.043478261,0.396,2.369565217,4.130434783,0.574,0.578,1.195652174,1.456521739,0.821,0.673913043,1.847826087,2.52173913,4.173913043,0.804347826,0.217391304,0.760869565,1.195652174,7.173913043,0,0,8307692
304,Dean Wade,28,CLE,PF,59,30,21.22033898,1.898305085,4.593220339,0.413,1.355932203,3.762711864,0.36,0.542372881,0.830508475,0.653,0.561,0.271186441,0.508474576,0.533,0.86440678,3.355932203,4.220338983,1.288135593,0.711864407,0.338983051,0.372881356,1.711864407,5.423728814,0,0,7178400
308,Nicolas Batum,36,LAC,PF,78,8,17.52564103,1.333333333,3.051282051,0.437,1.128205128,2.602564103,0.433,0.205128205,0.448717949,0.457,0.622,0.217948718,0.269230769,0.81,0.602564103,2.192307692,2.794871795,1.076923077,0.666666667,0.461538462,0.435897436,1.423076923,4.012820513,0,0,6016080
313,Marcus Smart,30,2TM,PG,34,7,20,2.970588235,7.558823529,0.393,1.441176471,4.147058824,0.348,1.529411765,3.411764706,0.448,0.488,1.588235294,2.088235294,0.761,0.529411765,1.588235294,2.117647059,3.205882353,1.147058824,0.264705882,1.588235294,1.558823529,8.970588235,0,0,15334769
315,Andre Drummond,31,PHI,C,40,23,18.775,2.925,5.85,0.5,0.075,0.5,0.15,2.85,5.35,0.533,0.506,1.4,2.25,0.622,2.725,5.025,7.75,0.85,0.975,0.45,1.375,2.35,7.325,0,0,5500000
322,Jaylin Williams,22,OKC,PF,47,9,16.68085106,2.063829787,4.70212766,0.439,1.29787234,3.255319149,0.399,0.765957447,1.446808511,0.529,0.577,0.489361702,0.638297872,0.767,1.021276596,4.553191489,5.574468085,2.553191489,0.468085106,0.617021277,0.744680851,1.680851064,5.914893617,3,0,8781000
326,Lonzo Ball,27,CHI,PG,35,14,22.2,2.542857143,6.942857143,0.366,1.914285714,5.571428571,0.344,0.628571429,1.371428571,0.458,0.504,0.628571429,0.771428571,0.815,0.714285714,2.657142857,3.371428571,3.285714286,1.342857143,0.485714286,1.171428571,1.571428571,7.628571429,0,0,10200000
346,Steven Adams,31,HOU,C,58,3,13.68965517,1.568965517,2.879310345,0.545,0,0.034482759,0,1.568965517,2.844827586,0.552,0.545,0.74137931,1.603448276,0.462,2.862068966,2.775862069,5.637931034,1.137931034,0.379310345,0.482758621,0.931034483,1.034482759,3.879310345,0,0,15000000
350,Pat Connaughton,32,MIL,SG,41,1,14.70731707,2.024390244,4.317073171,0.469,0.634146341,1.975609756,0.321,1.390243902,2.341463415,0.594,0.542,0.585365854,0.756097561,0.774,0.463414634,2.195121951,2.658536585,1.707317073,0.219512195,0.268292683,0.585365854,1.097560976,5.268292683,0,0,10044644
353,Herbert Jones,26,NOP,SF,20,20,32.4,3.75,8.6,0.436,1.1,3.6,0.306,2.65,5,0.53,0.5,1.65,2,0.825,1.1,2.8,3.9,3.25,1.85,0.45,1.75,3.3,10.25,0,0,14104000
365,Zeke Nnaji,24,DEN,PF,57,4,10.66666667,1.228070175,2.473684211,0.496,0.298245614,0.912280702,0.327,0.929824561,1.561403509,0.596,0.557,0.473684211,0.771929825,0.614,0.578947368,1,1.578947368,0.403508772,0.438596491,0.666666667,0.245614035,1.087719298,3.228070175,0,0,8399983
366,Paul Reed,25,DET,C,45,0,9.733333333,1.6,3.155555556,0.507,0.177777778,0.622222222,0.286,1.422222222,2.533333333,0.561,0.535,0.711111111,0.933333333,0.762,0.888888889,1.844444444,2.733333333,0.977777778,0.866666667,0.555555556,0.577777778,1.666666667,4.088888889,0,0,5685000
367,Tre Mann,23,CHO,PG,13,0,24.53846154,5.384615385,12.38461538,0.435,1.846153846,4.615384615,0.4,3.538461538,7.769230769,0.455,0.509,1.461538462,1.615384615,0.905,0.923076923,2,2.923076923,3,0.538461538,0.307692308,1.923076923,1.846153846,14.07692308,0,0,8333333
375,Grant Williams,26,CHO,PF,16,7,29.9375,3.375,7.6875,0.439,1.6875,4.625,0.365,1.6875,3.0625,0.551,0.549,1.9375,2.3125,0.838,1.125,4,5.125,2.3125,1.125,0.8125,1.75,2.875,10.375,0,0,13825920
384,Jevon Carter,29,CHI,PG,36,1,8.916666667,1.527777778,4.055555556,0.377,0.972222222,2.916666667,0.333,0.555555556,1.138888889,0.488,0.497,0.222222222,0.277777778,0.8,0.111111111,0.972222222,1.083333333,1.111111111,0.361111111,0.083333333,0.305555556,0.416666667,4.25,0,0,7520040
392,Jarred Vanderbilt,25,LAL,PF,36,2,16.13888889,1.638888889,3.361111111,0.488,0.25,0.888888889,0.281,1.388888889,2.472222222,0.562,0.525,0.555555556,1,0.556,1.888888889,3.166666667,5.055555556,1.138888889,0.972222222,0.277777778,0.805555556,1.861111111,4.083333333,0,0,11990000
396,Ousmane Dieng,21,OKC,C,37,1,10.94594595,1.459459459,3.378378378,0.432,0.621621622,1.918918919,0.324,0.837837838,1.459459459,0.574,0.524,0.297297297,0.432432432,0.688,0.486486486,1.702702703,2.189189189,0.837837838,0.459459459,0.189189189,0.486486486,0.891891892,3.837837838,0,0,7275600
415,Robert Williams,27,POR,C,20,3,17.55,2.5,3.9,0.641,0.05,0.15,0.333,2.45,3.75,0.653,0.647,0.75,0.85,0.882,1.75,4.15,5.9,1.05,0.65,1.65,0.85,1.55,5.8,0,0,13445754
420,John Konchar,28,MEM,SG,46,4,12.13043478,0.891304348,1.97826087,0.451,0.5,1.347826087,0.371,0.391304348,0.630434783,0.621,0.577,0.152173913,0.173913043,0.875,0.804347826,2.47826087,3.282608696,0.913043478,0.652173913,0.304347826,0.347826087,0.695652174,2.434782609,0,0,6623456
421,Matisse Thybulle,27,POR,SG,15,5,20.8,2.8,5.866666667,0.477,1.4,3.2,0.438,1.4,2.666666667,0.525,0.597,0.466666667,1,0.467,0.933333333,2.533333333,3.466666667,1.866666667,2.2,0.6,0.866666667,0.933333333,7.466666667,0,0,11968800
433,Maxi Kleber,33,DAL,PF,34,4,18.73529412,1.088235294,2.823529412,0.385,0.382352941,1.441176471,0.265,0.705882353,1.382352941,0.511,0.453,0.470588235,0.617647059,0.762,0.735294118,2.058823529,2.794117647,1.264705882,0.264705882,0.5,0.676470588,1.941176471,3.029411765,0,0,11499872
440,Mitchell Robinson,26,NYK,C,17,3,17.05882353,2.176470588,3.294117647,0.661,0,0,,2.176470588,3.294117647,0.661,0.661,0.764705882,1.117647059,0.684,3.058823529,2.882352941,5.941176471,0.764705882,0.941176471,1.058823529,0.588235294,1.529411765,5.117647059,0,0,13376880
468,Dario ?ari?,30,DEN,C,16,4,13.125,1.3125,3.625,0.362,0.4375,1.625,0.269,0.875,2,0.438,0.422,0.4375,0.625,0.7,0.875,2.25,3.125,1.4375,0.4375,0.0625,0.9375,1.1875,3.5,0,0,5742480
490,Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,0.609,0,0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1,0.6,1.6,1,2.8,7,0,0,8000000
