Player,Age,Team,Pos,G,GS,MP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Caleb Houstan,22,ORL,SF,5,0,47,9.4,1.5,10.7,0.143,1.5,7.7,0.2,0,3.1,0,0.214,0,0,,1.5,1.5,3.1,0.8,0,0.8,1.5,2.3,4.6,,
Dillon Jones,23,OKC,SF,10,0,46,4.6,7,8.6,0.818,2.3,3.1,0.75,4.7,5.5,0.857,0.955,1.6,1.6,1,2.3,4.7,7,3.9,0.8,0.8,4.7,3.1,18,,
Ben Simmons,28,LAC,PG,5,0,42,8.4,1.7,5.1,0.333,0,0,,1.7,5.1,0.333,0.333,0,0,,2.6,3.4,6,3.4,0.9,3.4,1.7,9.4,3.4,,
Javonte Green,31,CLE,SG,6,0,39,6.5,3.7,9.2,0.4,0.9,4.6,0.2,2.8,4.6,0.6,0.45,5.5,5.5,1,0.9,7.4,8.3,1.8,3.7,0,1.8,1.8,13.8,,
Kevin Knox,25,GSW,SF,5,0,38,7.6,7.6,18.9,0.4,0.9,5.7,0.167,6.6,13.3,0.5,0.425,3.8,4.7,0.8,2.8,3.8,6.6,3.8,0,0.9,1.9,1.9,19.9,,
Vince Williams Jr.,24,MEM,SG,3,0,38,12.66666667,3.8,6.6,0.571,3.8,6.6,0.571,0,0,,0.857,1.9,1.9,1,0.9,5.7,6.6,3.8,1.9,0.9,2.8,2.8,13.3,,
DeAndre Jordan,36,DEN,C,7,0,36,5.142857143,3,3,1,0,0,,3,3,1,1,0,4,0,1,8,9,2,0,1,2,9,6,,
Johnny Furphy,20,IND,SG,11,0,35,3.181818182,1,4.1,0.25,0,2.1,0,1,2.1,0.5,0.25,0,1,0,1,5.1,6.2,1,0,1,1,6.2,2.1,,
Craig Porter Jr.,24,CLE,PG,6,0,35,5.833333333,6.2,12.3,0.5,0,3.1,0,6.2,9.3,0.667,0.5,0,0,,3.1,3.1,6.2,9.3,3.1,2.1,2.1,2.1,12.3,,
Precious Achiuwa,25,NYK,C,8,0,34,4.25,6.4,14.8,0.429,0,1.1,0,6.4,13.8,0.462,0.429,2.1,4.2,0.5,3.2,6.4,9.5,0,1.1,0,1.1,2.1,14.8,,
Zeke Nnaji,24,DEN,PF,6,0,34,5.666666667,1.1,8.5,0.125,1.1,6.4,0.167,0,2.1,0,0.188,4.2,7.4,0.571,3.2,4.2,7.4,2.1,1.1,2.1,2.1,6.4,7.4,,
Ron Holland,19,DET,SF,5,0,34,6.8,0,5.3,0,0,3.2,0,0,2.1,0,0,9.5,10.6,0.9,3.2,3.2,6.4,0,0,1.1,6.4,5.3,9.5,,
Ousmane Dieng,21,OKC,C,9,0,32,3.555555556,4.5,11.3,0.4,4.5,7.9,0.571,0,3.4,0,0.6,2.3,2.3,1,0,4.5,4.5,3.4,0,1.1,0,0,15.8,,
Jordan Goodwin,26,LAL,PG,4,0,31,7.75,1.2,5.8,0.2,0,2.3,0,1.2,3.5,0.333,0.2,1.2,2.3,0.5,2.3,3.5,5.8,2.3,1.2,1.2,1.2,8.1,3.5,,
Jaxson Hayes,24,LAL,C,4,4,31,7.75,3.5,9.3,0.375,0,0,,3.5,9.3,0.375,0.375,1.2,2.3,0.5,5.8,3.5,9.3,1.2,0,1.2,1.2,9.3,8.1,,
Jaylon Tyson,22,CLE,SG,4,0,31,7.75,8.1,17.4,0.467,5.8,10.5,0.556,2.3,7,0.333,0.633,5.8,7,0.833,3.5,4.6,8.1,8.1,2.3,1.2,2.3,4.6,27.9,,
Hunter Tyson,24,DEN,PF,5,0,30,6,6,12,0.5,1.2,6,0.2,4.8,6,0.8,0.55,4.8,4.8,1,4.8,4.8,9.6,2.4,1.2,0,1.2,3.6,18,,
Ryan Rollins,22,MIL,PG,3,1,30,10,4.8,15.6,0.308,2.4,8.4,0.286,2.4,7.2,0.333,0.385,0,0,,1.2,1.2,2.4,4.8,1.2,0,0,4.8,12,,
Tristan Thompson,33,CLE,C,3,0,29,9.666666667,3.7,7.4,0.5,0,0,,3.7,7.4,0.5,0.5,1.2,3.7,0.333,2.5,16.1,18.6,1.2,1.2,2.5,2.5,2.5,8.7,,
Jaylen Clark,23,MIN,SG,5,0,28,5.6,5.1,6.4,0.8,0,1.3,0,5.1,5.1,1,0.8,3.9,5.1,0.75,2.6,6.4,9,1.3,2.6,0,1.3,2.6,14.1,,
Marvin Bagley III,25,MEM,PF,2,0,28,14,10.3,11.6,0.889,1.3,1.3,1,9,10.3,0.875,0.944,0,0,,2.6,5.1,7.7,0,2.6,1.3,3.9,3.9,21.9,,
Aaron Holiday,28,HOU,PG,3,0,27,9,5.3,13.3,0.4,2.7,6.7,0.4,2.7,6.7,0.4,0.5,2.7,5.3,0.5,1.3,1.3,2.7,4,0,0,1.3,4,16,,
Braxton Key,27,GSW,SF,5,0,23,4.6,1.6,12.5,0.125,0,1.6,0,1.6,11,0.143,0.125,0,0,,7.8,6.3,14.1,1.6,3.1,3.1,4.7,6.3,3.1,,
Josh Minott,22,MIN,SF,5,0,23,4.6,3.1,12.5,0.25,1.6,9.4,0.167,1.6,3.1,0.5,0.313,0,0,,0,0,0,3.1,0,1.6,3.1,1.6,7.8,,
Baylor Scheierman,24,BOS,SG,4,0,22,5.5,4.9,16.4,0.3,3.3,8.2,0.4,1.6,8.2,0.2,0.4,0,0,,1.6,4.9,6.5,0,0,0,1.6,3.3,13.1,,
Torrey Craig,34,BOS,SF,5,0,21,4.2,3.4,6.9,0.5,3.4,5.1,0.667,0,1.7,0,0.75,0,0,,3.4,5.1,8.6,5.1,1.7,0,1.7,3.4,10.3,,
Luka Garza,26,MIN,C,5,0,19,3.8,11.4,11.4,1,1.9,1.9,1,9.5,9.5,1,1.083,0,0,,5.7,0,5.7,0,0,0,0,1.9,24.6,,
Jaime Jaquez Jr.,23,MIA,SF,3,0,19,6.333333333,1.9,11.4,0.167,0,3.8,0,1.9,7.6,0.25,0.167,3.8,3.8,1,5.7,1.9,7.6,1.9,0,0,1.9,1.9,7.6,,
Isaiah Stewart,23,DET,C,1,0,19,19,1.9,3.8,0.5,0,0,,1.9,3.8,0.5,0.5,0,0,,1.9,7.6,9.5,1.9,0,3.8,0,9.5,3.8,,
James Johnson,37,IND,PF,5,0,18,3.6,6,10,0.6,0,2,0,6,8,0.75,0.6,2,4,0.5,0,2,2,4,4,4,2,6,14,,
Jay Huff,26,MEM,C,2,0,18,9,4,8,0.5,0,2,0,4,6,0.667,0.5,8,8,1,2,4,6,2,0,6,2,2,16,,
Rob Dillingham,20,MIN,PG,3,0,16,5.333333333,6.8,18,0.375,2.3,4.5,0.5,4.5,13.5,0.333,0.438,2.3,4.5,0.5,0,4.5,4.5,15.8,0,0,0,2.3,18,,
Jordan Walsh,20,BOS,PF,5,0,15,3,0,2.4,0,0,2.4,0,0,0,,0,0,0,,0,2.4,2.4,2.4,0,0,0,0,0,,
Kobe Brown,25,LAC,PF,3,0,15,5,16.8,19.2,0.875,2.4,2.4,1,14.4,16.8,0.857,0.938,2.4,2.4,1,0,2.4,2.4,9.6,0,0,0,0,38.4,,
Alec Burks,33,MIA,SG,1,1,15,15,4.8,7.2,0.667,4.8,7.2,0.667,0,0,,1,0,0,,0,4.8,4.8,4.8,0,0,0,0,14.4,,
Pat Connaughton,32,MIL,SG,3,0,14,4.666666667,5.1,20.6,0.25,2.6,10.3,0.25,2.6,10.3,0.25,0.313,2.6,5.1,0.5,0,5.1,5.1,2.6,0,0,2.6,2.6,15.4,,
Kyle Anderson,31,MIA,SF,2,0,14,7,0,5.1,0,0,0,,0,5.1,0,0,0,0,,0,2.6,2.6,2.6,0,0,2.6,2.6,0,,
JD Davison,22,BOS,PG,4,0,13,3.25,2.8,22.2,0.125,2.8,5.5,0.5,0,16.6,0,0.188,2.8,5.5,0.5,2.8,5.5,8.3,8.3,0,0,2.8,0,11.1,,
Neemias Queta,25,BOS,C,4,0,13,3.25,13.8,16.6,0.833,0,0,,13.8,16.6,0.833,0.833,0,0,,5.5,0,5.5,5.5,2.8,0,0,5.5,27.7,,
Cam Christie,19,LAC,SG,3,0,13,4.333333333,5.5,8.3,0.667,2.8,5.5,0.5,2.8,2.8,1,0.833,0,0,,0,5.5,5.5,0,2.8,0,2.8,0,13.8,,
Drew Eubanks,27,LAC,C,3,0,13,4.333333333,0,5.5,0,0,0,,0,5.5,0,0,11.1,16.6,0.667,0,2.8,2.8,0,0,0,0,5.5,11.1,,
Jordan Miller,25,LAC,SF,3,0,13,4.333333333,8.3,19.4,0.429,0,2.8,0,8.3,16.6,0.5,0.429,2.8,5.5,0.5,0,5.5,5.5,11.1,8.3,0,0,0,19.4,,
Leonard Miller,21,MIN,SF,3,0,13,4.333333333,16.6,22.2,0.75,2.8,2.8,1,13.8,19.4,0.714,0.813,0,0,,8.3,5.5,13.8,0,0,0,2.8,0,36,,
Chuma Okeke,26,CLE,PF,3,0,13,4.333333333,2.8,11.1,0.25,2.8,11.1,0.25,0,0,,0.375,0,0,,0,0,0,2.8,2.8,0,0,0,8.3,,
Lamar Stevens,27,MEM,PF,2,0,12,6,6,27,0.222,0,9,0,6,18,0.333,0.222,0,0,,0,12,12,3,0,0,3,3,12,,
Goga Bitadze,25,ORL,C,3,0,11,3.666666667,3.3,3.3,1,0,0,,3.3,3.3,1,1,0,0,,0,9.8,9.8,3.3,0,3.3,0,19.6,6.5,,
Vlatko Čančar,27,DEN,PF,3,0,11,3.666666667,0,0,,0,0,,0,0,,,0,0,,0,6.5,6.5,0,0,0,6.5,0,0,,
Reed Sheppard,20,HOU,PG,3,0,10,3.333333333,0,7.2,0,0,7.2,0,0,0,,0,0,0,,0,3.6,3.6,3.6,7.2,3.6,3.6,3.6,0,,
Keshad Johnson,23,MIA,SF,2,0,8,4,4.5,4.5,1,0,0,,4.5,4.5,1,1,0,0,,4.5,0,4.5,0,0,0,4.5,4.5,9,,
Xavier Tillman Sr.,26,BOS,C,1,0,8,8,4.5,18,0.25,0,9,0,4.5,9,0.5,0.25,0,0,,4.5,9,13.5,0,0,0,0,0,9,,
Tyler Kolek,23,NYK,PG,3,0,6,2,6,6,1,6,6,1,0,0,,1.5,0,0,,0,6,6,18,0,0,0,0,18,,
Jeff Green,38,HOU,PF,3,0,5,1.666666667,7.2,21.6,0.333,7.2,7.2,1,0,14.4,0,0.5,0,0,,7.2,0,7.2,0,0,0,0,0,21.6,,
Ariel Hukporti,22,NYK,C,3,0,5,1.666666667,14.4,14.4,1,0,0,,14.4,14.4,1,1,0,14.4,0,0,14.4,14.4,0,0,0,0,0,28.8,,
Cam Whitmore,20,HOU,SF,3,0,5,1.666666667,0,14.4,0,0,7.2,0,0,7.2,0,0,0,0,,0,7.2,7.2,0,0,0,0,0,0,,
Nate Williams,25,HOU,SG,3,0,5,1.666666667,0,7.2,0,0,7.2,0,0,0,,0,0,0,,0,0,0,0,0,0,7.2,7.2,0,,
Tristan Da Silva,23,ORL,SF,2,0,5,2.5,0,7.2,0,0,7.2,0,0,0,,0,0,0,,0,28.8,28.8,7.2,0,0,14.4,0,0,,
Andre Jackson Jr.,23,MIL,SG,2,0,5,2.5,0,7.2,0,0,7.2,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
Chris Livingston,21,MIL,SF,2,0,5,2.5,0,7.2,0,0,7.2,0,0,0,,0,0,0,,0,7.2,7.2,0,0,0,0,0,0,,
Maxi Kleber,33,LAL,PF,1,0,5,5,0,7.2,0,0,7.2,0,0,0,,0,14.4,14.4,1,0,0,0,0,0,0,7.2,7.2,14.4,,
Jock Landale,29,HOU,C,1,0,5,5,7.2,14.4,0.5,0,0,,7.2,14.4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,14.4,,
Pacôme Dadiet,19,NYK,SG,2,0,4,2,9,9,1,0,0,,9,9,1,1,0,0,,0,0,0,0,0,0,0,0,18,,
Bronny James,20,LAL,SG,2,0,4,2,0,18,0,0,18,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
Dalton Knecht,23,LAL,SF,2,0,4,2,18,45,0.4,9,36,0.25,9,9,1,0.5,0,0,,18,9,27,0,0,0,0,0,45,,
Alex Len,31,LAL,C,2,0,4,2,0,9,0,0,0,,0,9,0,0,0,0,,27,9,36,0,0,0,0,0,0,,
Shake Milton,28,LAL,SG,2,0,4,2,0,9,0,0,0,,0,9,0,0,0,0,,0,0,0,0,0,0,0,9,0,,
Jett Howard,21,ORL,SF,1,0,4,4,18,18,1,18,18,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,9,54,,
Patty Mills,36,LAC,PG,1,0,4,4,9,18,0.5,9,9,1,0,9,0,0.75,0,0,,0,0,0,0,0,0,9,9,27,,
P.J. Tucker,39,NYK,SF,1,0,4,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,9,0,,
League Average,,,,,,,,,,0.455,,,0.354,,,0.526,0.528,,,0.775,,,,,,,,,,,
