Player,Age,Team,Pos,G,GS,MP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
De'Andre Hunter,27,CLE,SF,8,0,185,23.125,5.3,12.3,0.429,2.3,5.1,0.462,2.9,7.2,0.405,0.524,4.3,5.1,0.846,1.2,4.5,5.6,1.6,0.8,0.2,1.4,3.3,17.1,,
Rui Hachimura,26,LAL,PF,5,5,182,36.4,5.5,11.3,0.491,3,6.1,0.484,2.6,5.1,0.5,0.623,0.6,0.6,1,0.8,3.8,4.5,1,0.6,0.6,1.4,2.4,14.6,,
Luke Kornet,29,BOS,C,11,1,180,16.36363636,4.2,5.8,0.724,0,0,,4.2,5.8,0.724,0.724,1.6,1.6,1,3.2,5.4,8.6,1,1.2,2.6,1,4,10,,
Gary Payton II,32,GSW,SG,11,1,180,16.36363636,4.2,9.4,0.447,1.8,4.6,0.391,2.4,4.8,0.5,0.543,0,0,,2,2.8,4.8,3.2,2,0,1.2,4.2,10.2,,
Nicolas Batum,36,LAC,PF,7,0,172,24.57142857,2.7,6.9,0.394,2.7,6.9,0.394,0,0,,0.591,0,0,,0.8,4.8,5.7,2.9,1.3,2.5,0.6,2.7,8.2,,
Gary Trent Jr.,26,MIL,SG,5,3,171,34.2,6.7,13.1,0.516,4.6,9.3,0.5,2.1,3.8,0.556,0.694,1.7,2.1,0.8,0.2,2.1,2.3,1.3,2.7,0,0.6,1.9,19.8,,
Dorian Finney-Smith,31,LAL,PF,5,1,170,34,2.5,6.1,0.414,1.5,4,0.368,1.1,2.1,0.5,0.534,0,0,,2.1,2.3,4.4,2.8,0.2,0.4,1.1,3.6,6.6,,
Thomas Bryant,27,IND,C,20,0,167,8.35,3.4,7.1,0.485,1.9,3.9,0.5,1.5,3.2,0.467,0.621,2.4,3,0.786,1.5,4.3,5.8,0.9,0.9,1.3,1.5,5.4,11.2,,
Dennis Schröder,31,DET,PG,6,0,164,27.33333333,5.7,11.6,0.491,2.2,4.6,0.476,3.5,7,0.5,0.585,2.9,3.5,0.813,0.9,2.2,3.1,4.8,1.5,0.2,1.5,2.6,16.5,,
Malik Beasley,28,DET,SG,6,0,163,27.16666667,6.2,16.6,0.373,4.4,13,0.339,1.8,3.5,0.5,0.507,1.8,1.8,1,0.2,3.1,3.3,1.5,0.7,0.2,1.5,2.2,18.6,,
Kentavious Caldwell-Pope,31,ORL,SG,5,5,163,32.6,1.8,6.6,0.267,1.3,5.1,0.261,0.4,1.5,0.286,0.367,0.7,0.9,0.75,0.2,3.1,3.3,2,1.5,0.7,0.4,2.4,5.5,,
Wendell Carter Jr.,25,ORL,C,5,5,162,32.4,4.7,8.9,0.525,0.7,2.4,0.273,4,6.4,0.621,0.563,1.3,2.2,0.6,4.2,7.8,12,1.3,0.4,0.4,1.8,2.7,11.3,,
Sam Merrill,28,CLE,SG,8,3,159,19.875,3.4,9.1,0.375,3.2,8.8,0.359,0.2,0.2,1,0.55,0.5,0.7,0.667,1.6,2.9,4.5,3.2,0.9,0.5,0.5,4.1,10.4,,
Bobby Portis,29,MIL,PF,5,1,158,31.6,6.8,15.5,0.441,2.3,6.4,0.357,4.6,9.1,0.5,0.515,0,0.2,0,1.8,7.5,9.3,1.6,0.5,0.5,1.4,1.8,15.9,,
Steven Adams,31,HOU,C,7,0,155,22.14285714,2.8,4.6,0.6,0,0,,2.8,4.6,0.6,0.6,3.7,7,0.533,5.3,5.3,10.7,0.9,0.7,1.9,1.2,1.6,9.3,,
Kris Dunn,30,LAC,PG,7,6,153,21.85714286,4,10.4,0.386,2.4,6.6,0.357,1.6,3.8,0.438,0.5,0,0,,2.4,3.3,5.6,2.1,1.9,0.9,0.2,4.2,10.4,,
Bam Adebayo,27,MIA,C,4,4,153,38.25,6.6,15.1,0.438,1.6,4.9,0.333,4.9,10.1,0.488,0.492,1.6,2.6,0.636,3.8,6.6,10.4,4,0.9,0.2,2.8,2.1,16.5,,
Kevin Porter Jr.,24,MIL,SG,5,1,151,30.2,4.5,11.4,0.396,1.7,3.6,0.467,2.9,7.9,0.364,0.469,2.6,3.1,0.846,0.7,3.6,4.3,6.4,1,0,2.1,2.9,13.4,,
Darius Garland,25,CLE,PG,5,5,148,29.6,7.1,16.8,0.42,2.4,8.5,0.286,4.6,8.3,0.559,0.493,5.4,5.8,0.917,0.2,2.4,2.7,6.3,0.5,0,3.6,4.1,21.9,,
Quinten Post,24,GSW,PF,12,2,146,12.16666667,3.9,11.8,0.333,2.5,7.9,0.313,1.5,3.9,0.375,0.438,0.7,1,0.75,1.5,5.4,6.9,3,0.7,0.7,1.5,4.9,11.1,,
Tyler Herro,25,MIA,SG,4,4,144,36,6.8,16.2,0.415,2.3,7.2,0.31,4.5,9,0.5,0.485,2,2.5,0.8,0,3.5,3.5,2.7,0.5,0,2.3,3,17.7,,
Jabari Smith Jr.,21,HOU,PF,7,0,143,20.42857143,4.3,8.6,0.5,2.5,5.5,0.455,1.8,3,0.583,0.647,2,2.5,0.8,1.8,5,6.8,1,0.3,1.3,2.5,1.5,13.1,,
Dean Wade,28,CLE,PF,9,1,142,15.77777778,1.5,4.6,0.333,0.8,3.5,0.214,0.8,1,0.75,0.417,0,0,,2.5,7.1,9.6,1.5,0.8,0.3,0.8,2.5,3.8,,
