Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,,Salary
258,Kenrich Williams,30,OKC,PF,69,7,1132,171,354,0.483,66,171,0.386,105,183,0.574,0.576,28,39,0.718,65,176,241,97,43,10,39,110,436,0,,,7707709
259,Isaiah Stewart,23,DET,C,72,4,1434,176,315,0.559,17,53,0.321,159,262,0.607,0.586,66,87,0.759,130,269,399,123,28,101,68,183,435,0,,,15500000
266,Zach Collins,27,2TM,PF,64,12,977,153,302,0.507,32,106,0.302,121,196,0.617,0.56,69,78,0.885,102,186,288,111,29,29,60,132,407,0,,,18485916
268,Brandon Ingram,27,NOP,SF,18,18,595,155,333,0.465,43,115,0.374,112,218,0.514,0.53,47,55,0.855,17,83,100,93,16,11,69,45,400,0,,,38095238
270,Day'Ron Sharpe,23,BRK,C,50,2,907,165,317,0.521,11,45,0.244,154,272,0.566,0.538,56,74,0.757,149,181,330,91,41,42,63,113,397,0,,,6670882
272,Moritz Wagner,27,ORL,C,30,1,564,140,249,0.562,27,75,0.36,113,174,0.649,0.616,79,110,0.718,40,108,148,42,24,12,49,55,386,0,,,5480297
274,Kelly Olynyk,33,2TM,C,44,22,891,134,268,0.5,33,79,0.418,101,189,0.534,0.562,83,108,0.769,62,144,206,128,33,19,76,123,384,0,,,13666667
276,Alex Caruso,30,OKC,SG,54,3,1041,140,314,0.446,60,170,0.353,80,144,0.556,0.541,42,51,0.824,38,121,159,137,87,30,37,102,382,0,6MOY-8,,18893980
277,Jonathan Isaac,27,ORL,PF,71,1,1090,134,324,0.414,39,151,0.258,95,173,0.549,0.474,73,107,0.682,120,194,314,40,61,80,33,90,380,0,,,15936452
283,Kyle Anderson,31,2TM,PF,61,4,1002,142,303,0.469,25,70,0.357,117,233,0.502,0.51,48,65,0.738,53,153,206,145,40,33,37,81,357,0,,,10000000
285,Caleb Martin,29,2TM,SF,45,24,1218,129,304,0.424,37,103,0.359,92,201,0.458,0.485,61,98,0.622,53,124,177,95,46,23,56,87,356,0,,,10107163
291,Kevon Looney,28,GSW,C,76,6,1142,143,278,0.514,2,5,0.4,141,273,0.516,0.518,56,99,0.566,185,277,462,118,46,37,39,154,344,0,,,8237640
296,Isaac Okoro,24,CLE,SG,55,22,1053,124,267,0.464,56,151,0.371,68,116,0.586,0.569,33,46,0.717,49,81,130,68,32,16,23,104,337,0,,,11500000
301,Tre Jones,25,2TM,PG,46,9,905,128,238,0.538,19,48,0.396,109,190,0.574,0.578,55,67,0.821,31,85,116,192,37,10,35,55,330,0,,,8307692
304,Dean Wade,28,CLE,PF,59,30,1252,112,271,0.413,80,222,0.36,32,49,0.653,0.561,16,30,0.533,51,198,249,76,42,20,22,101,320,0,,,7178400
308,Nicolas Batum,36,LAC,PF,78,8,1367,104,238,0.437,88,203,0.433,16,35,0.457,0.622,17,21,0.81,47,171,218,84,52,36,34,111,313,0,,,6016080
313,Marcus Smart,30,2TM,PG,34,7,680,101,257,0.393,49,141,0.348,52,116,0.448,0.488,54,71,0.761,18,54,72,109,39,9,54,53,305,0,,,15334769
